rsi_period,overbought,oversold,wait_period,stop_loss_pct,take_profit_pct,Sharpe Ratio,Annualized Return (%),Max Drawdown (%),Win Rate (%),Profit Factor,Total Trades,debt
12,90,30,5,0.01,0.05,0.7410932358005051,6.109608069126282,-4.180453253203389,54.6875,1.0823223800150126,64,0.0
12,90,30,5,0.01,0.03,0.7410932358005051,6.109608069126282,-4.180453253203389,54.6875,1.0823223800150126,64,0.0
12,90,30,5,0.01,0.07,0.7410932358005051,6.109608069126282,-4.180453253203389,54.6875,1.0823223800150126,64,0.0
12,90,30,5,0.02,0.03,0.7410932358005051,6.109608069126282,-4.180453253203389,54.6875,1.0823223800150126,64,0.0
12,90,30,5,0.02,0.05,0.7410932358005051,6.109608069126282,-4.180453253203389,54.6875,1.0823223800150126,64,0.0
12,90,30,5,0.02,0.07,0.7410932358005051,6.109608069126282,-4.180453253203389,54.6875,1.0823223800150126,64,0.0
12,90,30,5,0.03,0.03,0.7410932358005051,6.109608069126282,-4.180453253203389,54.6875,1.0823223800150126,64,0.0
12,90,30,5,0.03,0.05,0.7410932358005051,6.109608069126282,-4.180453253203389,54.6875,1.0823223800150126,64,0.0
12,90,30,5,0.03,0.07,0.7410932358005051,6.109608069126282,-4.180453253203389,54.6875,1.0823223800150126,64,0.0
16,90,25,5,0.02,0.07,0.4801449453454387,4.0347092288574915,-4.778867161061982,52.0,1.0695562323765335,25,0.0
16,90,25,5,0.03,0.05,0.4801449453454387,4.0347092288574915,-4.778867161061982,52.0,1.0695562323765335,25,0.0
16,90,25,5,0.03,0.03,0.4801449453454387,4.0347092288574915,-4.778867161061982,52.0,1.0695562323765335,25,0.0
16,90,25,5,0.02,0.05,0.4801449453454387,4.0347092288574915,-4.778867161061982,52.0,1.0695562323765335,25,0.0
16,90,25,5,0.02,0.03,0.4801449453454387,4.0347092288574915,-4.778867161061982,52.0,1.0695562323765335,25,0.0
16,90,25,5,0.01,0.07,0.4801449453454387,4.0347092288574915,-4.778867161061982,52.0,1.0695562323765335,25,0.0
16,90,25,5,0.01,0.05,0.4801449453454387,4.0347092288574915,-4.778867161061982,52.0,1.0695562323765335,25,0.0
16,90,25,5,0.01,0.03,0.4801449453454387,4.0347092288574915,-4.778867161061982,52.0,1.0695562323765335,25,0.0
16,90,25,5,0.03,0.07,0.4801449453454387,4.0347092288574915,-4.778867161061982,52.0,1.0695562323765335,25,0.0
16,90,30,5,0.03,0.07,0.13056115771038626,0.49927190004810384,-5.016431219363751,50.0,1.008429126830028,26,0.0
16,90,30,5,0.01,0.03,0.13056115771038626,0.49927190004810384,-5.016431219363751,50.0,1.008429126830028,26,0.0
16,90,30,5,0.01,0.07,0.13056115771038626,0.49927190004810384,-5.016431219363751,50.0,1.008429126830028,26,0.0
16,90,30,5,0.02,0.03,0.13056115771038626,0.49927190004810384,-5.016431219363751,50.0,1.008429126830028,26,0.0
16,90,30,5,0.02,0.05,0.13056115771038626,0.49927190004810384,-5.016431219363751,50.0,1.008429126830028,26,0.0
16,90,30,5,0.02,0.07,0.13056115771038626,0.49927190004810384,-5.016431219363751,50.0,1.008429126830028,26,0.0
16,90,30,5,0.03,0.03,0.13056115771038626,0.49927190004810384,-5.016431219363751,50.0,1.008429126830028,26,0.0
16,90,30,5,0.03,0.05,0.13056115771038626,0.49927190004810384,-5.016431219363751,50.0,1.008429126830028,26,0.0
16,90,30,5,0.01,0.05,0.13056115771038626,0.49927190004810384,-5.016431219363751,50.0,1.008429126830028,26,0.0
